"1", "DNM 3.57", "S rūḍhaṁ, T jhāḍā for jhāḍaṁ. S latādigamana for gahanam"
"2", "Sk gōpī (?)", "MT gōṁpī; S gōṁpi for gōppī"
"3", "DNM 8.18 [sapattiā]", "MS saṁpatiā"
"4", "DNM 2.95 [gōṭhī]", "K gōṁḍi%; S gōṭṭi"
"5", "", "? K ṇaḍi; S gōṁḍi"
"6", "DNM 2.95", "KS gōṁji"
"7", "DNM 1.144", "BKT ēkkaggaṁ; M ēkaṁga"
"8", "DNM 1.169 [ōharisaṁ candanagharṣaṇaśilā]", "BT ōhassaṁ"
"9", "DNM 6.102", "K bhaisari, MS maṁsirī"
"10", "DNM 1.64 [āṇūvō ?]", "S ādōrō"
"11", "DNM 6.140", "MS mōrataō, T mōrītaō"
"12", "DNM 6.140", "BK mārō"
"13", "DNM 6.38", "BKM paṇāaō; T pāṇaaō"
"14", "DNM 1.110 [ullaraya]", "BKM dullaraa. BT kapardē for kapardaiḥ"
"15", "DNM 8.44", ""
"16", "DNM 8.44", ""
"17", "DNM 7.31 [vaṭṭā]", "2 K chaṭā carma; M chaṁṭō marma; S chaḍhō varma; T paṭṭō vartma"
"18", "DNM 6.106 [bhuttūṇō, bhōttūṇō]", "B chōḍaṇō; M bhōṭuṇa, S bhaṭuṇō, T bhōggaraṇō. KM bhr̥takaṁ; T bhūtakaḥ"
"19", "DNM 2.93 [gēṁhua]", "M mōṁḍa, S gōda, T gēṁḍa. Bp KMS vāsōgrathirapari kucayōḥ for stanayō...pranthi "
"20", "DNM 6.104 [bhāvaiā dhārmikagr̥hiṇī]", "M bhāraī, T; gaēī; T2 gavāī"
"21", "?", "K dukkhitē; MS duḥkhitē; T ukkhittē kapā"
"22", "DNM 6.29", "T parihārō"
"23", "", "? T paṭhama"
"24", "DNM 2.89 [gōā]", "T gōpā"
"25", "DNM 6.32 [paḍiēkliō ?]", "T paḍipaḍḍirō"
"26", "DNM 2.87", "T gadhavisāō. BM grānthikā; K gandhikaḥ for gāndhikaḥ"
"27", "DNM 1.157 [ōhuraṁ ?]", "KS ōkhia, T ōsiaṁ"
"28", "DNM 1.12", ""
"29", "DNM 2.17", "S karailli"
"30",  "","B kējhaō. Bp vapajhaō; M va...pajjhaō"
"31", "DNM 5.55", "BKMS upparialaṁ"
"32", "DNM 7.65 [vēlūṇā-vēlaṇayaṁ iti kēcit]", "B vēḍūṇā; T vēḍuṇi"
"33", "DNM 6.74 [picchilī]", "B om. the word and wrongly gives picchila: as the meaning of vēḍūṇī; M picchalaṁ; T vicchilaṁ"
"34", "DNM 7.65", "Bom. and wrongly reads panthāḥ, K baṁdhā; M paṁthā; T vidhā"
"35", "?", "B rāsārōvahō; T sirōvahā"
"36", "?", "KMS siṇi"
"37", "DNM 7.65 [vēlūṇā as under 32 above]", "T vēḍūrā"
"38", "DNM 6.141 [maṁtakkha]", "B matattakharaṁ, KM mataṁtakharaṁ, S matatakharaṁ"
"39", "?", "M kōṇāa; T kōṇṇāya. B mānaḥ; KM māna for mlānam"
"40", "DNM 2.70 [khadaggī]", "S khadaji; T khamayaggi"
"41", "DNM 1.141 [ūsāaṁtō]", "BK dukkhāatō; MS dukkhāata"
"42", "DNM 1 120 [uttāṇapattaya]", "T uttāṇavattī"
"43", "DNM 3.7 [cauracidhō]", "B cauraiḍō; M cauraiḍhō"
"44", "DNM 8.66", ""
"45", "from paulai pacati; DNM 6.29", "T cauliaṁ"
"46", "?", "M pāḍā; S māḍhā, T amiaṁ"
"47", "DNM 2.79 [kharaḍiaṁ rūkṣam]", "T khauraaṁ"
"48", "DNM 6.91 [bahurāṇā]", ""
"49", "DNM 6.89", "B bappōṭṭēṇa; KS pappōṇa; T bappōṭṭēḍa"
"50", "DNM 2.77 [khavō, khanvō vāmakara]", "S khaddaṇṇō"
"51",  "DNM 2.66", "S khaḍaṁ; T kaḍḍō"
"52", "DNM 6.95 [bēḍḍā]", ""
"53", "DNM 6.95", "B vōharaṁ; M vōṁdara, T vōraṁ"
"54", "DNM 1.103 [uitaṇaṁ]", "M uitaṇaṁ; T ōattaṇa"
"55", "DNM 8.11 [sayarāha]", "M saṁharāha"
"56", "DNM 2.70", "T khallarī"
"57", "DNM 2.70", "B khilliriā; M khilirīā; T vallarīā"
"58", "DNM 7.2", "BK rajjī; M raṁjī; S raji, T raḍḍī"
"59", "DNM 7.29", "B vaddhaaṁ; M aṁdhaśra, T vaḍa"
"60", "DNM 2.88", ""
"61", "DNM 5.12 [tigicchī]", "M nimakī; T tigicchi"
"62", "DNM 5.12 [tigiā]", "T tōḍiā"
"63", "DNM 5.19", "T taḍha"
"64", "DNM 6.42 [pāuggiō]", "M pāduṁgō; T pāiggō"
"65", "DNM 5.12 [puṭikā tiviḍā sūcīti kēcit]", "M tiviī"
"66", "DNM 6.14", ""
"67",  "DNM 2.43", ""
"68", "DNM 2.104 [gēḍ]", "M gōṁḍa; T gēḍḍī"
"69", "DNM 3.11 [cikkhallō]", "MS cikkhilaṁ, T cikkhillī"
"70", "DNM 2.2 [kaccharō]", "BK kañcarō; M kaṁcaraṁ, T kaccharī"
"71", "DNM 6.119 [mahēḍḍō]", "B mahiḍa; T mahēppī"
"72", "DNM 6.89", "B balāha; KM balaha, T bahulī"
"73", "DNM 7.9 [rēṇī]", "T rēō"
"74", "DNM 6.7", ""
"75", "DNM 4.15 [ḍhaṁḍhariō]", "B uḍḍhariā; T ḍhaḍḍharīāT"
"76", "DNM 4.16 [ḍhaṁḍhō]", "B ḍaḍḍhāḥ M daḍā, T ḍhaḍḍhā"
"77", "DNM 5.48", "KM kardamaparyāya. for kardama ityarthaḥ"
"78", "DNM 3.36 [chivaō]", "BK vicchiō,M vichiō"
"79", "DNM 3.39", "T chōō"
"80", "DNM 6.15 [paggējjō]", "M pagējjhō"
"81", "DNM 7.32 [vicchaḍḍōṁ]", "B vijjhaḍā; M viṁjhaḍō; T vicusō vadhaḥ (?) samūha ityarthaḥ"
"82", "DNM 4.33 = B ṇiaḍī snānam; DNM 4.26 = ṇiaḍī (Sk nikr̥tiḥ)", "KS niasthi; M niaī"
"83", "DNM 4.45", "BK naḍḍariā; MS naṁḍuriā; T nēssurīā"
"84", "DNM 2.77 [khōṭī]", "BK sōḍḍī; M sōṁḍī; T khōḍḍha"
"85", "DNM 5.11 [tālapphalī]", "BK tāṇaphalī, T tālapālī"
"86", "DNM 3.30 [chichaṭaramaṇaṁ]", "B cicchiṇaramaṇaṁ, M ciṁchiṇaramaṇaṁ, T śiccharaṇamaṇī"
"87", "DNM 1.153 [ōlaṁkī channaramaṇa, naṁṣṭvā yatra śiśavaḥ krīḍanti]", "B ōlukkō; T ulukkī"
"88", "DNM 2.83 [gadīṇī]", "B haviṇa, T gadhīṇī"
"89", "?", "M pusala; T masulaṁ"
"90", "DNM 1.26 [avaaṇṇō]", "S avahaṇa"
"91", "DNM 8.12", "S sarāhavō"
"92", "DNM 2.32 [kikiṁḍī]", "K kikkaḍī; S kiṁkaḍī; T krikuḍī"
"93", "DNM 8.18 [sailabha]", "B sailatta; T siulīhī"
"94", "DNM 8.91", "BT saidaḍa; KM saidaṁḍa; S sairaḍaṁ"
"95", "DNM 1.164", "T ōdhā. dambhaḥ"
"96", "DNM 1.149 [ōggīō]", "S ōggiō; T ōjīhā"
"97", "DNM 8.53", "K siṇā"
"98", "DNM 4.38", ""
"99", "DNM 3.38", "M jhati. DNM chēdaḥ for strōtaḥ"
"100", "DNM 8.29 [siṁḍhā]", "M siṁṭā, T siṇṇā"
"101", "DNM 8.29 [siṁbāḍī 1]", "B sihiḍō, T savāḍō"
"102", "DNM 4.40", "KS diṇavaṁchaṇa; M divachaṇaṁ"
"103", "DNM 4.40", "KS ṇibanachaṇa, M ṇivaṁchaṇaṁ"
"104", "DNM 1.12", "B labaō"
"105", "?", "T saaḍā"
"106", "DNM 8.46 [saḍhā]", "B pralambakēśā, S pralabakēśa"
"107", "DNM 2.110 [ghugghucchagayaṁ]", "B ghagghavaga; M ghaghaṁdhaṇaṁ, T patthaṇa. M khēdavaḥ for khadaḥ"
"108", "DNM 3.7", "B baḍḍabaḍāā, KM vaḍḍavaḍāā S caṁḍavaḍāā; T cha।vaḍāā. Cf. baṭabaṭīta in Marathi."
"109", "DNM 5.7 [talapphalō]", "KMS talaphala, T tala cchala"
"110", "DNM 5.12 [tiriḍḍī]", "T tīriḍī. DNM uṣṇavāta for anuṣyō vāyuḥ"
"111", "DNM 7.74", "M vēṁpō; T vēpphā"
"112", "DNM 8.30 [siṁpua]", ""
"113", "DNM 2 33", "BK MS kilā"
"114", "DNM 2.33", "BKMS kulakulā (kukkulā')"
"115", "?", "B addharaṇā; M adharaṇā, T hatthattharaṇī"
"116", "DNM 7.50", "T bahudhāraṇī"
"117", "DNM 7.31", "M vaṁtī; T vī" 
"118", "", "Sk vr̥tiḥ. T vai"
"119", "", "Sk.T vēḍhā"
"120", "DNM 4.34 [ṇigghaṭō]", "S ṇigghaṁṭō, T ṇicaṭṭhō"
"121", "DNM 7.32", "KS pajjā, M paṁjā, T vajā"
"122", "DNM 6.1", "KS paṁjā; M vaṁjā, T vajjā"
"123", "DNM 3.53 [nirantaravr̥ṣṭi; or jhāḍī ?]", "KS jaḍī; T jāli. KS cālā"
"124", "?", ""
"125", "DNM 6.117 [mukkuḍī]", "T mukuḍī"
"126", "DNM 6.136 [mukkuruḍō or mugghuruḍō rāśi 1]", "B mucumuttō; KS mucumuhō;M mucumullō; T mukimuṁḍō. BK kūṭaḥ for jūṭaḥ"
"127", "DNM 4.41 [ṇikkhasariō]", "T ṇikasiraṁō"
"128", "DNM 3.55 [jhaṁṭaliā]", "BK jhaṭiliā; S jhaḍhaliā"
"129", "DNM 8.8 [saṁghōḍī]", "BK sukhōḍī"
"130", "DNM 8.30 [siliṁbō]", "BK silippō, T salimacō"
"131", "DNM 3.10", ""
"132", "DNM 3.22", "T om. cullō"
"133", "DNM 3 10", "BM jēḍō"
"134", "DNM 7.22", "BST likō"
"135", "DNM 4.8", "B jālaḥ, MS jālā"
"136", "DNM 8.59", "BKMS gahaṁ for haṇa"
"137", "DNM 7.67 [viḍḍirilī]", "B vihiriā. M viṭiriā; T vippiriā"
"138", "DNM 5.14", "T tuggī"
"139", "DNM 2.62 [kuhiṇī]", "S kahiṇa, T kr̥hīṇa"
"140", "DNM 7. 90", ""
"141", "DNM 7.94", ""
"142", "Sk?", "B duihaṇō; M duṭhaha .,T uccuhaṇō"
"143", "DNM 7.19 [laṁpikkhō]", "BKMS ammikō"
"144", "DNM 2.20 [kalamō]", ""
"145", "DNM 2.66 [kubhilō]", "BVI kubilō, T kuvilō"
"146", "DNM 4.49 [girakō]", "MS ṇirikō; T ṇirakō"
"147", "DNM 1.101 [ucchaṭṭō or ōcchaṭō]", "B vacchallō, M vaṁchalō; T ōccaḍḍō"
"148", "DNM 2.10", "Bp. vairī, K vaira for cōra "
"149", "DNM 1.10 [ahillō]", "B (ahallō); M. ahilī"
"150", "DNM 5.62", ".•T yaṇī"
"151", "DNM 3.45 [jakaasukaō]", ""
"152", "?", "MS jhāmarō; T jhāmurō"
"153", "DNM 6.55 [purupuriā]", "ST puḍarīā"
"154", "DNM 8.39", "B hadda, T hathaḥ"
"155", "?", "K piḍillikā; M piṁḍilikā; S paḍillikā; T paḍillirō"
"156", "DNM 8.7 [sabhullō]", "B sacullō, T sicillō"
"157", "DNM 3.51 [jōvvaṇavēa]", ""
"158", "DNM 3.51 [jōvvaṇaṇāraṁ]", "BT jōvvaṇiṇī"
"159", "DNM 3.51 [jōvvaṇōvayaṁ ?]", "B jōṇira. B jāraḥ for jarā"
"160", "DNM 6.36", "B ciḍiṇisaṇa, K piḍiṇiasaṇa"
"161", "DNM 6.21", "KMS paḍivēsā. Bp vikōpaḥ for vikṣēpaḥ"
"162", "DNM 6.19 [paḍikaō  pratikriyā]", "KS paḍikiā"
"163", "DNM 6.31 [paḍujuvaī]", "S paḍujja- aṇi;T vasujjayaṇī",
"164", "DNM 2.24", "After kuṇiā BT add kuviā; DNM does not record it"
"165", "DNM 2.24 [kucchilla]", "K kucchiṇṇi; S kudhiṇi"
"166", "DNM 2.24 [kaṭhadāṇārōṁ]", "B kaḍaḍiṇārō, K kaṭadiṇārō or kaladiṇārō, S kaḍuchiṇālō. B prativivara; K prativiparaṁ for vr̥tivivaram"
"167", "DNM 5.29 [thēvaria]", "K sujanmani for sutajanma ni"
"168", "DNM 1.35 [akkha- vāyā]", "M aṁkhavāā, T akkhapāā"
"169", "?", "B mikkhaṁ, M mēṁkha"
"170", "?", "MS pāhivāaḍā lavanā"
"171", "DNM 6.51", "BKMS piḍarai"
"172", "DNM 1.154", "B āralī, M āraṁlī"
"173", "DNM 6.61 [pōaḍō]", "M pōaṁgō; T vōaṁgō"
"174", "DNM 1.87 [ukkadī]", "M ukaṭi"
"175", "DNM 4.44 [licchī]", "BT ṇalacchiā,K ṇilacchiā,M ṇilaṁkiā"
"176", "DNM 4.11 [ḍōō] or DNM 4.11 [ḍughō dāhastaḥ]", "from Telugu ḍōkī. BM ḍōkō, T ḍōkkā. KM vanādērjalānayanayatra for nipānādē...ryantram"
"177", "DNM 2.28 [kāyadī]", "B kāaṁbī"
"178", "DNM 2.28 [kāṇā]", "M kāṇaḍī, T kāṇaṭṭī"
"179", "DNM 6.89 [bakkara]", "MS vaṁkarō, T vakkārō"
"180", "DNM 2.80", "B khāḍō; T khasō"
"181", "DNM 1.107 [utthali]", "M uṁchalavō, T ōtthalaō"
"182", "DNM 6.4 [pauḍhē]", "KMS vr̥duḍhaṁ"
"183", "?", "T mēlia"
"184", "", "B appada; S uppitthaṁ; T pautthaṁ"
"185", "?", "KMS thajō (1); T thēṭō"
"186", "DNM 1.109", "B uluhattō"
"187", "DNM 4.13 [ḍhakō]", "B ḍakō, T ḍhakō"
"188", "DNM 7.49 [vasabhuddhō]", "B vasutuṭṭō; T vasatuṭṭō"
"189", "DNM 6.94", "M buṁkaṇō, T pukaṇō"
"190", "DNM 6.112", ""
"191", "DNM 6.112", ""
"192", "DNM 3.4 [caṁcappara]", "M cacuparaṁ; T; vapupparī; T. capupparī"
"193", "DNM 3.14", "B reads muṣṭiḥ after tittī (200)"
"194", "DNM 6.79", "BKMS puttī"
"195", "DNM 1.56 [aliallī] or 1.24 [ariallī]", ""
"196", "?", "B cittī, M ciṁtī. Cf. cittā in Marathi."
"197", "DNM 3.1 [caḍō]", "B caṇaaṇā, Tcaṁḍaāṇā"
"198", "?", "KS laṁcī; T luppī"
"199", "DNM 2.86", "B gaṇasamā; KS gaṇa- savē"
"200", "DNM 5.11", "KST titi; M tatī"
"201", "DNM 4.9", "T vālī"
"202", "DNM 4.5", "B ṭhāṇā"
"203", "DNM 4.25 [ṇāmōka]", "MS ṇāmuṁka"
"204", "DNM 6.57", "S pēalaṁ"
"205", "?", "BT om. this word. M pējila"
"206", "DNM 2.8+", "T gabhaṇī"
"207", "DNM 2.84 [gaharī gr̥ghna .]", "KS gēharō (lō), M gēhērō"
"208", "?", "T muhuō"
"209", "DNM 7.19", "B baillō (DNM 6.91); T vāullō"
"210", "DNM 6.136 [mukkuruḍō]", "S mukkuruḍō; T muruturuḍō"
"211", "?", "A variant of 210 above"
"212", "DNM 2.109 [ghughuruḍō]", "M ghagharuḍō rāśi pakṣī"
"213", "DNM 1.66 [ālayaṇa]", "T āvasaṇī",
"214", "DNM 1.66 [ālayagaṁ]", ""
"215", "?", "M havasaṭō, T upasaggō"
"216", "DNM 1.104 [uvasēra ratiyōgya]", "M urasērā"
"217", "DNM 1.88 [uṇhiā]", ""
"218", "DNM 1.36 [avarijjō advitīya.]", "BM •om. the word"
"219", "DNM 1.25", "B om. the word. BT itti- riśa; K uttari# for uttarīyam"
"220", "DNM 2.20 [avarikō kṣaṇarahita niravasaraḥ]", "B aṇirika, S avaṇikka"
"221", "?", "B akṣaṇika"
"222", "?", "B om. the word"
"223", "DNM 5.50", "B dēvēlī"
"224", "DNM 1.26 [airipō]", "BT airivō, K airippā"
"225", "DNM 6.59 [pēḍaiō kagādivikrētā]", "BT baḍauō"
"226", "DNM 8 40", "B asadummaṇiā (sadummaṇiēti śīlāṅka)"
"227", "DNM 1.94", "KMS ummallō piṁḍa 2 surāpiṣṭa"
"228", "DNM 7.78 [vēṁḍhasurā kaluṣa' murā]", "BKMS piṁḍa"
"229", "DNM 35 [caḍiārō]", "T viḍiāsō"
"230", "DNM 6.128", "M mālu"
"231", "DNM 5.37", "S daraṁkarō, T darīkarō"
"232", "?", "B uvvalaṁ; M raṁvēla, T uppōllaṁ"
"233", "DNM 1.152 [ōsāō]", "M āmālō"
"234", "DNM 4.37 [ṇicchuḍō]", "B ṇiccaḍḍō, M kiṁciṁḍō, T ṇiccēḍō"
"235", "DNM 4.37", "T ṇighōrā"
"236", "DNM 1.71 [āraṁmiō]", "M ārāniō, T ārayaṁtiō"
"237", "DNM 7.21 [lāsayavihaō]", "B saavimhaō; KS sahavihaō; M sahavimhaō"
"238", "DNM 8.20 [siṁḍhō]", "KM siṁṭō; T siṭṭō"
"239", "DNM 1.65 [ālatthō]"," M āladhaō"
"240", "DNM 1.85", "M kūpādi- kārakaḥ for °khanakā"
"241", "DNM 1.140", "BK isārō"
"242", "DNM 1.120 [uvalabhattā or uvala bhaggā?]", "B uvalahatō; M uvalaḍḍatō, T uvalahatō"
"243", "DNM 8.65 [hilā or hilā]", "M hilā, T bhilā"
"244", "DNM 8.66", "KS kikā, M kikā (Cf. kiṁki dhavalaṁ in DNM 2.31.)"
"245", "DNM 1.114 [upphukiā]", "K upākaā, M upākā; T uppikiā"
"246", "DNM 8.69 [hiṁḍōla hiṁḍōlaya]", "B hiḍḍōlī; T hiḍōlī. DNM kṣētrē mr̥ganiṣēdharavaḥ, kṣētrarakṣaṇayantramiti kīcat"
"247", "DNM 1.61 [ālāsō]", "B āsalō"
"248", "DNM 1.11", "B aliṇēō, K allīṇō or alliyō; T ālīṇō"
"249", "DNM 1.63", "BK jarilō"
"250", "DNM 3.41 [javaṇaṁ]", ""
"251", "DNM 6.120", "T maraṁṭō"
"252", "DNM 2.31 [kilaṇā]", "B kiriṇī"
"253", "DNM 2.62 [kuhiṇī]", "T kuṇa"
"254", "DNM 8.6", "S sāhi"
"255", "DNM 6.39 [pāṇaddhī]", "B pāṇalī, T vāṇaṭhī"
"256", "Sk. T vattaṇī", ""
"257", "DNM 6.144", "S valayō"
"258", "DNM 1.151 [ōggālō]", "Cf. ōghaḷa in Marathi"
"259", "DNM 3.27", "B chinyōlī"
"260", "?", ""
"261",  "DNM 6.22 gr̥hapaścimāṅgaṇam"
"262", "DNM 8.48 [sarēvaō]", "B ṇarivāō"
"263", "DNM 8.48 [sarēvaō]", ""
"264", "DNM 2.15 [kaddamiō]", "S kuṭamiō, T kuṭṭimiō. Bp mūṣaka for mahiṣaḥ"
"265", "DNM 6.5", "T vahaṇī. DNM saṁmukhāgatanirōdhaḥ for °gatinirōdha"
"266", "DNM 2.44 [kēā rajjuḥ]", ""
"267", "DNM 5.11 [tittī sāram]", "B titī"
"268", "DNM 2.21", "S kilaṁ"
"269", "?", "S ukāsārō; T pukkāsarō"
"270", "DNM 6.103 [bhāua]", ""
"271", "DNM 6.110 [bhabhala]", "KS bhaṁgalaaṁ, T bhahaālaṁ"
"272", "DNM 2.38 [kutthuvattha]", "S kōthuhavatthaṁ"
"273", "DNM 2.38 [kōsala]", ""
"274", "?", ""
